Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.727532959,18.00774287,0.934517299,4.251038818,18.00243105,0.167739339,3.649863281,18.00754776,0.840014594,4.240947876,18.00226999,0.187677429,3.66026001,18.00732626,0.845820077,4.216790771,18.00224826,0.227182507,3.687780762,18.00680906,0.853489041,4.188352661,18.00185545,0.282523609
3.727227173,18.25784965,0.933607819,4.249509888,18.25246418,0.16864855,3.650474854,18.25765228,0.839105123,4.239724731,18.25230182,0.188586636,3.660565796,18.25742922,0.844910612,4.215567627,18.25227936,0.228091711,3.688086548,18.25690375,0.852579606,4.187741089,18.25187679,0.283432778
3.727532959,18.50795633,0.932698341,4.247369385,18.50249694,0.169557761,3.65078064,18.50775728,0.83819565,4.237278442,18.50233376,0.189495843,3.661483154,18.5075309,0.844001151,4.214344482,18.5023092,0.229000911,3.688392334,18.50699869,0.851670169,4.187129517,18.50191334,0.284342002
3.728144531,18.75806382,0.931788859,4.245534668,18.75252891,0.170466968,3.651392212,18.75786196,0.837286178,4.236055298,18.75236566,0.19040505,3.66178894,18.75763307,0.843091689,4.21373291,18.75233966,0.229910113,3.689003906,18.75709338,0.850760734,4.186212158,18.75193467,0.28525117
3.728144531,19.00817058,0.93087938,4.243394165,19.00256152,0.171376177,3.652003784,19.00796646,0.836376707,4.234526367,19.00239895,0.191314262,3.662400513,19.00773567,0.842182225,4.212509766,19.00237229,0.230819322,3.689615479,19.00718856,0.849851297,4.185906372,19.00197122,0.286160394
3.728144531,19.25827835,0.929969897,4.241865234,19.2525941,0.172285387,3.652615356,19.25807066,0.835467238,4.233303223,19.25243198,0.192223473,3.663012085,19.25783762,0.841272763,4.211592407,19.25240325,0.231728526,3.690227051,19.25728431,0.848941858,4.184989014,19.25200777,0.287069618
3.728450317,19.50838524,0.929060417,4.240336304,19.50262682,0.173194596,3.652921143,19.50817331,0.834557773,4.231774292,19.50246425,0.193132681,3.663929443,19.50794102,0.840363296,4.210369263,19.50243427,0.232637729,3.690838623,19.50738037,0.848032418,4.184071655,19.50204432,0.287978842
3.728450317,19.75849321,0.928150934,4.237890015,19.7526597,0.174103807,3.653532715,19.75827755,0.833648303,4.230245361,19.75249634,0.194041889,3.664235229,19.75804319,0.839453834,4.209451904,19.75246523,0.233546933,3.690838623,19.75747716,0.847122975,4.183765869,19.75206565,0.28888801
3.728756104,20.00860004,0.927241454,4.23666687,20.00269171,0.175013014,3.653838501,20.00838069,0.832738837,4.229328003,20.00252835,0.194951096,3.664541016,20.00814542,0.838544371,4.208534546,20.00249674,0.234456138,3.691450195,20.00757135,0.846213542,4.183154297,20.00208698,0.289797178
3.72906189,20.25870687,0.926331975,4.235137939,20.25272363,0.175922221,3.654450073,20.25848333,0.831829373,4.227799072,20.25255992,0.195860302,3.665152588,20.258248,0.837634907,4.207005615,20.25252758,0.235365341,3.692061768,20.25766634,0.845304105,4.182848511,20.25212353,0.290706402
3.72906189,20.50881464,0.925422492,4.233914795,20.50275694,0.176831433,3.655061646,20.50858852,0.8309199,4.226575928,20.50259158,0.196769508,3.66576416,20.50835115,0.836725441,4.206394043,20.50255994,0.23627455,3.692367554,20.50776156,0.844394668,4.182236938,20.50214486,0.291615571
3.729367676,20.75892246,0.924513009,4.232080078,20.75278995,0.177740644,3.655367432,20.75869221,0.830010432,4.225352783,20.75262232,0.197678711,3.666069946,20.75845414,0.835815976,4.205782471,20.75259273,0.23718376,3.693284912,20.75785597,0.843485234,4.181625366,20.75219663,0.29252485
3.72906189,21.0090301,0.923603527,4.230856934,21.00282224,0.178649853,3.655979004,21.00879718,0.829100959,4.224129639,21.00265311,0.198587913,3.666375732,21.00855643,0.834906513,4.204865112,21.0026255,0.23809297,3.693284912,21.007951,0.842575797,4.181013794,21.00221796,0.293434018
3.729367676,21.25913787,0.922694044,4.229328003,21.25285491,0.179559062,3.656590576,21.25890206,0.828191487,4.222600708,21.25268384,0.199497116,3.667598877,21.25865915,0.833997049,4.203947754,21.25265802,0.239002179,3.694202271,21.25804637,0.84166636,4.180402222,21.25225451,0.294343242
3.729979248,21.50924468,0.921784565,4.227799072,21.50288698,0.18046827,3.657507935,21.50900658,0.827282016,4.221377563,21.50271415,0.200406317,3.667598877,21.50876181,0.833087584,4.203336182,21.50269205,0.239911394,3.694508057,21.50814123,0.840756924,4.179790649,21.50226063,0.295252355
3.730285034,21.75935302,0.92087508,4.226575928,21.75291849,0.181377475,3.657813721,21.75911076,0.826372546,4.220460205,21.75274487,0.20131552,3.668516235,21.75886527,0.832178117,4.202418823,21.75272657,0.24082061,3.695425415,21.75823812,0.839847481,4.179790649,21.75229718,0.296161579
3.73059082,22.0094617,0.919965594,4.225046997,22.00294979,0.18228668,3.658425293,22.00921629,0.825463072,4.219542847,22.00277549,0.202224722,3.669127808,22.0089687,0.83126865,4.201807251,22.00276071,0.241729825,3.695731201,22.00833386,0.838938042,4.179179077,22.00231851,0.297070748
3.730285034,22.25956908,0.919056112,4.224129639,22.25298152,0.183195886,3.659036865,22.25932154,0.824553598,4.218319702,22.25280753,0.20313393,3.670045166,22.25907177,0.830359184,4.200889893,22.25279421,0.242639038,3.696954346,22.25842869,0.838028606,4.178567505,22.25233984,0.297979916
3.730285034,22.50967697,0.918146629,4.222600708,22.50301365,0.184105094,3.659342651,22.50942653,0.823644125,4.216790771,22.50283913,0.204043135,3.66973938,22.50917516,0.829449718,4.20027832,22.50282719,0.243548249,3.697260132,22.50852377,0.837119169,4.178261719,22.50236117,0.298889085
